epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,63036,0.53788,0.27675,0.90604,0.98755,0.99158,0.99451,0.9007,0.51547,0.21001,0.88957,0.00452,0.00452,0.00452
139,63467.2,0.53665,0.27601,0.9044,0.9872,0.99231,0.99453,0.9011,0.51501,0.2097,0.88943,0.00448,0.00448,0.00448
140,63898.7,0.53748,0.27599,0.9071,0.98756,0.99201,0.99452,0.90123,0.51451,0.20983,0.88923,0.00444,0.00444,0.00444
141,64330.2,0.53674,0.27794,0.90414,0.98803,0.99228,0.99453,0.90048,0.51393,0.20971,0.88912,0.0044,0.0044,0.0044
142,64761.6,0.53748,0.27639,0.9063,0.98787,0.99231,0.99453,0.90123,0.5142,0.21021,0.88913,0.00436,0.00436,0.00436
143,65192.9,0.53579,0.27551,0.90552,0.98772,0.99231,0.99451,0.9013,0.51383,0.2097,0.88908,0.00432,0.00432,0.00432
144,65625.3,0.53756,0.27679,0.90692,0.9878,0.99231,0.99452,0.90128,0.51383,0.20946,0.88906,0.00428,0.00428,0.00428
145,66059.1,0.53775,0.27624,0.90712,0.98758,0.99231,0.99452,0.9014,0.51399,0.20951,0.88878,0.00424,0.00424,0.00424
146,66491.7,0.53561,0.2736,0.9054,0.98804,0.99263,0.99451,0.90146,0.51409,0.20898,0.88883,0.0042,0.0042,0.0042
147,66925.6,0.53586,0.27511,0.90669,0.98778,0.99279,0.99453,0.90138,0.514,0.20905,0.88879,0.00416,0.00416,0.00416
148,67360.5,0.53566,0.27379,0.90457,0.98803,0.99173,0.99453,0.90171,0.51376,0.2091,0.88879,0.00412,0.00412,0.00412
149,67794.7,0.53439,0.27288,0.90313,0.98849,0.99128,0.99453,0.90129,0.51365,0.20925,0.88866,0.00408,0.00408,0.00408
150,68230.3,0.53509,0.27456,0.90539,0.98849,0.99098,0.99454,0.90094,0.51361,0.20937,0.88878,0.00404,0.00404,0.00404
151,68665.5,0.53573,0.2754,0.90591,0.98803,0.99201,0.99455,0.90107,0.51411,0.20964,0.88872,0.004,0.004,0.004
152,69100.3,0.53317,0.2732,0.90317,0.98784,0.99231,0.99456,0.90078,0.51443,0.20941,0.88844,0.00396,0.00396,0.00396
153,69534.4,0.5323,0.27196,0.90545,0.9879,0.99231,0.99456,0.90078,0.51442,0.20899,0.88841,0.00392,0.00392,0.00392
154,69968.7,0.53406,0.27222,0.90516,0.98851,0.99274,0.99456,0.90113,0.51448,0.20905,0.88845,0.00388,0.00388,0.00388
155,70403.5,0.53199,0.27089,0.90562,0.98901,0.99231,0.99456,0.90093,0.51486,0.2088,0.88841,0.00384,0.00384,0.00384
156,70839,0.53316,0.27205,0.90487,0.98909,0.99231,0.99457,0.90067,0.5151,0.20896,0.88836,0.0038,0.0038,0.0038
157,71273,0.5307,0.27004,0.9021,0.98945,0.99222,0.99456,0.90042,0.51488,0.20877,0.88849,0.00376,0.00376,0.00376
158,71707.8,0.53096,0.27024,0.90206,0.98861,0.99135,0.99441,0.90055,0.51445,0.20856,0.88842,0.00372,0.00372,0.00372
159,72141.4,0.53065,0.27083,0.90397,0.98802,0.99116,0.99437,0.90103,0.51476,0.20867,0.88847,0.00368,0.00368,0.00368
160,72575.8,0.53084,0.26936,0.90298,0.98804,0.99135,0.99452,0.9013,0.51463,0.20853,0.88829,0.00364,0.00364,0.00364
161,73009.2,0.53253,0.27169,0.90296,0.98803,0.99171,0.99442,0.90149,0.51408,0.20808,0.88775,0.0036,0.0036,0.0036
162,73443.3,0.53058,0.2705,0.90289,0.98848,0.99231,0.99458,0.90126,0.51395,0.20795,0.88779,0.00356,0.00356,0.00356
163,73876.2,0.53213,0.27059,0.90412,0.98896,0.99231,0.99457,0.90141,0.51366,0.20722,0.88769,0.00352,0.00352,0.00352
164,74308.7,0.53084,0.26886,0.90471,0.98898,0.9925,0.99458,0.90087,0.51351,0.20733,0.88795,0.00348,0.00348,0.00348
165,74742.7,0.53015,0.2689,0.9024,0.98898,0.99262,0.99459,0.90184,0.51327,0.20701,0.88796,0.00344,0.00344,0.00344
166,75177.2,0.53007,0.26909,0.90495,0.98898,0.99246,0.99458,0.90133,0.51359,0.20693,0.88802,0.0034,0.0034,0.0034
